char,zhuyin
毒,ㄉㄨˊ
比,ㄅㄧˇ
毛,ㄇㄠˊ
民,ㄇㄧㄣˊ
氣,ㄑㄧˋ
氧,ㄧㄤˇ
水,ㄕㄨㄟˇ
永,ㄩㄥˇ
求,ㄑㄧㄡˊ
江,ㄐㄧㄤ
池,ㄔˊ
決,ㄐㄩㄝˊ
沈,ㄕㄣˇ
沒,ㄇㄟˊ
沙,ㄕㄚ
沮,ㄐㄩˇ
河,ㄏㄜˊ
油,ㄧㄡˊ
治,ㄓˋ
沿,ㄧㄢˊ
況,ㄎㄨㄤˋ
法,ㄈㄚˇ
注,ㄓㄨˋ
洋,ㄧㄤˊ
洗,ㄒㄧˇ
洞,ㄉㄨㄥˋ
洲,ㄓㄡ
活,ㄏㄨㄛˊ
派,ㄆㄞˋ
流,ㄌㄧㄡˊ
浪,ㄌㄤˋ
海,ㄏㄞˇ
消,ㄒㄧㄠ
涕,ㄊㄧˋ
涼,ㄌㄧㄤˊ
淚,ㄌㄟˋ
淡,ㄉㄢˋ
淨,ㄐㄧㄥˋ
深,ㄕㄣ
清,ㄑㄧㄥ
減,ㄐㄧㄢˇ
渡,ㄉㄨˋ
港,ㄍㄤˇ
湯,ㄊㄤ
源,ㄩㄢˊ
準,ㄓㄨㄣˇ
溜,ㄌㄧㄡ
溫,ㄨㄣ
滑,ㄏㄨㄚˊ
滿,ㄇㄢˇ
漂,ㄆㄧㄠ
演,ㄧㄢˇ
漢,ㄏㄢˋ
漸,ㄐㄧㄢˋ
漿,ㄐㄧㄤ
潑,ㄆㄛ
潔,ㄐㄧㄝˊ
濃,ㄋㄨㄥˊ
濟,ㄐㄧˋ
火,ㄏㄨㄛˇ
灰,ㄏㄨㄟ
災,ㄗㄞ
炎,ㄧㄢˊ
炒,ㄔㄠˇ
炸,ㄓㄚˋ
烈,ㄌㄧㄝˋ
烤,ㄎㄠˇ
無,ㄨˊ
焦,ㄐㄧㄠ
然,ㄖㄢˊ
煙,ㄧㄢ
照,ㄓㄠˋ
煩,ㄈㄢˊ
煮,ㄓㄨˇ
熟,ㄕㄡˊ
熱,ㄖㄜˋ
燈,ㄉㄥ
燒,ㄕㄠ
營,ㄧㄥˊ
爆,ㄅㄠˋ
爬,ㄆㄚˊ
爭,ㄓㄥ
爲,ㄨㄟˋ
父,ㄈㄨˋ
爸,ㄅㄚˋ
爺,ㄧㄝˊ
牀,ㄔㄨㄤˊ
牆,ㄑㄧㄤˊ
片,ㄆㄧㄢˋ
版,ㄅㄢˇ
牌,ㄆㄞˊ
牙,ㄧㄚˊ
牛,ㄋㄧㄡˊ
牢,ㄌㄠˊ
物,ㄨˋ
特,ㄊㄜˋ
牽,ㄑㄧㄢ
狀,ㄓㄨㄤˋ
狂,ㄎㄨㄤˊ
猜,ㄘㄞ
獎,ㄐㄧㄤˇ
獨,ㄉㄨˊ
獻,ㄒㄧㄢˋ
玉,ㄩˋ
王,ㄨㄤˊ
玩,ㄨㄢˊ
珍,ㄓㄣ
珠,ㄓㄨ
班,ㄅㄢ
現,ㄒㄧㄢˋ
球,ㄑㄧㄡˊ
理,ㄌㄧˇ
琴,ㄑㄧㄣˊ
環,ㄏㄨㄢˊ
瓜,ㄍㄨㄚ
瓶,ㄆㄧㄥˊ
甚,ㄕㄣˋ
甜,ㄊㄧㄢˊ
生,ㄕㄥ
產,ㄔㄢˇ
用,ㄩㄥˋ
田,ㄊㄧㄢˊ
由,ㄧㄡˊ
申,ㄕㄣ
男,ㄋㄢˊ
界,ㄐㄧㄝˋ
留,ㄌㄧㄡˊ
畢,ㄅㄧˋ
畫,ㄏㄨㄚˋ
異,ㄧˋ
當,ㄉㄤ
疑,ㄧˊ
疫,ㄧˋ
病,ㄅㄧㄥˋ
症,ㄓㄥˋ
痛,ㄊㄨㄥˋ
療,ㄌㄧㄠˊ
癌,ㄧㄢˊ
登,ㄉㄥ
發,ㄈㄚ
白,ㄅㄞˊ
百,ㄅㄞˇ
的,ㄉㄜ˙
皮,ㄆㄧˊ
益,ㄧˋ
盛,ㄕㄥˋ
盡,ㄐㄧㄣˋ
盤,ㄆㄢˊ
目,ㄇㄨˋ
直,ㄓˊ
相,ㄒㄧㄤ
省,ㄕㄥˇ
看,ㄎㄢˋ
真,ㄓㄣ
眠,ㄇㄧㄢˊ
眼,ㄧㄢˇ
着,ㄓㄜ˙
睛,ㄐㄧㄥ
睡,ㄕㄨㄟˋ
知,ㄓ
短,ㄉㄨㄢˇ
石,ㄕˊ
研,ㄧㄢˊ
破,ㄆㄨㄛˋ
硬,ㄧㄥˋ
碎,ㄙㄨㄟˋ
碟,ㄉㄧㄝˊ
碰,ㄆㄥˋ
確,ㄑㄩㄝˋ
磅,ㄅㄤˋ
磨,ㄇㄛˊ
示,ㄕˋ
社,ㄕㄜˋ
祖,ㄗㄨˇ
祝,ㄓㄨˋ
神,ㄕㄣˊ
祥,ㄒㄧㄤˊ
票,ㄆㄧㄠˋ
祭,ㄐㄧˋ
禁,ㄐㄧㄣˋ
禍,ㄏㄨㄛˋ
福,ㄈㄨˊ
禮,ㄌㄧˇ
禾,ㄏㄜˊ
秀,ㄒㄧㄡˋ
秋,ㄑㄧㄡ
科,ㄎㄜ
租,ㄗㄨˇ
移,ㄧˊ
程,ㄔㄥˊ
種,ㄓㄨㄥˇ
稱,ㄔㄥ
穴,ㄒㄩㄝˋ
究,ㄐㄧㄡˋ
空,ㄎㄨㄥ
穿,ㄔㄨㄢ
突,ㄊㄨˊ
窗,ㄔㄨㄤ
窮,ㄑㄩㄥˊ
立,ㄌㄧˋ
站,ㄓㄢˋ
竟,ㄐㄧㄥˋ
章,ㄓㄤ
童,ㄊㄨㄥˊ
競,ㄐㄧㄥˋ
竹,ㄓㄨˊ
笑,ㄒㄧㄠˋ
符,ㄈㄨˊ
第,ㄉㄧˋ
筆,ㄅㄧˇ
等,ㄉㄥˇ
答,ㄉㄚˊ
算,ㄙㄨㄢˋ
管,ㄍㄨㄢˇ
箱,ㄒㄧㄤ
節,ㄐㄧㄝˊ
範,ㄈㄢˋ
篇,ㄆㄧㄢ
築,ㄓㄨˊ
簡,ㄐㄧㄢˇ
籤,ㄑㄧㄢ
米,ㄇㄧˇ
粉,ㄈㄣˇ
精,ㄐㄧㄥ
糊,ㄏㄨˊ
糕,ㄍㄠ
糖,ㄊㄤˊ
糟,ㄗㄠ
系,ㄒㄧˋ
紀,ㄐㄧˋ
約,ㄩㄝ
紅,ㄏㄨㄥˊ
紙,ㄓˇ
級,ㄐㄧˊ
紫,ㄗˇ
累,ㄌㄟˋ
細,ㄒㄧˋ
紹,ㄕㄠˋ
終,ㄓㄨㄥ
組,ㄗㄨˇ
結,ㄐㄧㄝˊ
給,ㄍㄟˇ
統,ㄊㄨㄥˇ
絲,ㄙ
經,ㄐㄧㄥ
綠,ㄌㄩˋ
